place_id,nama,latitude,longitude,jarak_meter,alamat,google_maps_url,types,photo_name,photo_attribution,foto_tempat_path,foto_jalan_path,foto_path,street_view_status,street_view_pano_id,street_view_date,street_view_heading,street_view_copyright,query_source,manual_no,manual_photo_source,manual_file_name,manual_maps_url,manual_street_view_url,manual_status
ChIJg64VCfH71y0Rj4vI4SLBsZE,Grace Motor,-7.274191500000001,112.7551394,414.78,"Jl. Gubeng Kertajaya VII Raya No.49, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=10498384561938402191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,service motor dekat Kampus B Universitas Airlangga Surabaya,11,,grace_motor,https://maps.google.com/?cid=10498384561938402191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.274191500000001,112.7551394",
ChIJD7AR5dH71y0RStK78M3ASLw,Union Jaya,-7.275695799999999,112.7559471,467.4,"Jl. Dharmawangsa No.128 005, RT.005/RW.04, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=13567305868193288778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,12,,union_jaya,https://maps.google.com/?cid=13567305868193288778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.275695799999999,112.7559471",
ChIJs2nN0NL71y0RmfnGoVOVtiU,Rejeki Motor,-7.273703900000001,112.7623723,475.03,"Jl. Karang Menjangan No.151, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=2717523611593669017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,13,,rejeki_motor,https://maps.google.com/?cid=2717523611593669017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.273703900000001,112.7623723",
ChIJnStwRAD71y0R26Wj2RN-9xE,Service Mobil Panggilan Surabaya (Syamsudin),-7.2687244999999985,112.7609705,485.67,"Jl. Mojo III, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=1294642041613166043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,14,,service_mobil_panggilan_surabaya_syamsudin,https://maps.google.com/?cid=1294642041613166043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2687244999999985,112.7609705",
ChIJd0C1jfP71y0RFAfRy30aJT0,REJEKI MOTOR 1,-7.2686655999999985,112.760934,488.56,"Jl. Karang Menjangan No.55, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=4405956938044606228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,15,,rejeki_motor_1,https://maps.google.com/?cid=4405956938044606228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2686655999999985,112.760934",
ChIJ-U9Yyiz61y0ROf75W9n6dxU,Vega Motor,-7.272244,112.763078,523.38,"Jl. Jojoran I No.29 B, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=1546980808483012153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,16,,vega_motor,https://maps.google.com/?cid=1546980808483012153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.272244,112.763078",
ChIJ182EHc771y0RO9epOSw9gDI,UD. Jaya Abadi - Ban Tirezone GT Radial,-7.2762587,112.7558652,524.95,"Jl. Dharmawangsa No.136, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=3638975759070648123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"tire_shop, auto_parts_store, car_repair, point_of_interest, service, store, establishment",,,,,,REQUEST_DENIED,,,,,tambal ban dekat Kampus B Universitas Airlangga Surabaya,17,,ud_jaya_abadi_-_ban_tirezone_gt_radial,https://maps.google.com/?cid=3638975759070648123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2762587,112.7558652",
ChIJQ8A_-dD71y0RerXkrAVV9R4,"""ANUGERAH MOTOR"" Bengkel Sepeda Motor (Prass)",-7.273687,112.753532,554.04,"Gubeng Jaya I No.41, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",https://maps.google.com/?cid=2230782673295816058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,18,,anugerah_motor_bengkel_sepeda_motor_prass,https://maps.google.com/?cid=2230782673295816058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.273687,112.753532",
ChIJO9pBG8771y0RQfTnJOC_6Kg,Tiga Berlian Motor,-7.276725000000001,112.756071,559.43,"Jl. Dharmawangsa No.71, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=12171188962381526081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"auto_parts_store, car_repair, point_of_interest, service, store, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,19,,tiga_berlian_motor,https://maps.google.com/?cid=12171188962381526081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.276725000000001,112.756071",
ChIJafnH7jH71y0Re9lbeX8DWFE,Car in Surabaya,-7.2772571,112.7570347,577.9,"Jl. Gubeng Kertajaya IX Raya. Kec. Gubeng, Surabaya, Jawa Timur 60286, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60282",https://maps.google.com/?cid=5861438761054493051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,20,,car_in_surabaya,https://maps.google.com/?cid=5861438761054493051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2772571,112.7570347",
ChIJ1aOQrtL71y0RiTNCIhDIQuQ,Agoes Motor,-7.2754475,112.7625129,584.12,"Jl. Raya Menur No.9, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=16447928760730268553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,21,,agoes_motor,https://maps.google.com/?cid=16447928760730268553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2754475,112.7625129",
ChIJoTqvrtL71y0R-xgrmSCf47M,Mitra Motor 1,-7.275541,112.7625054,589.92,"Jl. Raya Menur No.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=12962379114859927803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,22,,mitra_motor_1,https://maps.google.com/?cid=12962379114859927803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.275541,112.7625054",
ChIJ_xg2Zqj71y0RNWSyFmsOSyA,RIZKY MOTOR,-7.271359899999999,112.752865,610.69,"PQH3+F45, Jl. Gubeng Jaya VIII, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",https://maps.google.com/?cid=2326969485572072501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,23,,rizky_motor,https://maps.google.com/?cid=2326969485572072501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.271359899999999,112.752865",
ChIJOW_TUN_71y0Rwu87x1Upx6Q,Bengkel Motor Panggilan,-7.2708491,112.75256,654.81,"Jl. Gubeng Jaya IX No.7, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",https://maps.google.com/?cid=11873504390977155010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,24,,bengkel_motor_panggilan,https://maps.google.com/?cid=11873504390977155010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2708491,112.75256",
ChIJHTcB5Yz71y0RgtPR47YHIBU,KutuMetal Garage,-7.2708491,112.75256,654.81,"Jln Gubeng jaya 9 7, Jl. Gubeng Jaya IX No.7, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",https://maps.google.com/?cid=1522225156138849154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,25,,kutumetal_garage,https://maps.google.com/?cid=1522225156138849154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2708491,112.75256",
ChIJ18TkU1n71y0ROJSl8yRsE9Y,Bengkel mobil panggilan terdekat surabaya,-7.2747534,112.7528504,667.03,"Jl. Gub. Kertajaya V Raya No.42B, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60282",https://maps.google.com/?cid=15425792054636418104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,26,,bengkel_mobil_panggilan_terdekat_surabaya,https://maps.google.com/?cid=15425792054636418104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2747534,112.7528504",
ChIJmeqY5TH71y0R12j5ZHNZydE,Car clinic salon mobil & variasi mobil,-7.2711858,112.7647736,719.69,"Jl. Mojo III No.47, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=15116711976395958487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,27,,car_clinic_salon_mobil_variasi_mobil,https://maps.google.com/?cid=15116711976395958487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2711858,112.7647736",
ChIJ25tYFZ371y0RcXG5kl1felE,Bengkel mobil panggilan surabaya 25 jam #redirediredi,-7.276248300000001,112.7531046,730.08,"Jl. Gubeng Kertajaya V C No.12a, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=5871109919729086833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,28,,bengkel_mobil_panggilan_surabaya_25_jam_redirediredi,https://maps.google.com/?cid=5871109919729086833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.276248300000001,112.7531046",
ChIJPRNx3WT71y0RQAAsO_lQe3E,Bengkel motor GHEPENK,-7.276988799999999,112.7630603,743.52,"Jl. Sukodami I No.4, RT.001/RW.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",https://maps.google.com/?cid=8177218579791085632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya,29,,bengkel_motor_ghepenk,https://maps.google.com/?cid=8177218579791085632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.276988799999999,112.7630603",
ChIJA3aITsz71y0RmcsqYpCBEOk,Sumber Jaya,-7.2790088,112.7588601,756.89,"Jl. Kertajaya No.192, RT.001/RW.12, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282",https://maps.google.com/?cid=16794065467586825113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya,30,,sumber_jaya,https://maps.google.com/?cid=16794065467586825113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-7.2790088,112.7588601",
