place_id,nama,latitude,longitude,jarak_meter,alamat,google_maps_url,types,photo_name,photo_attribution,foto_tempat_path,foto_jalan_path,foto_path,street_view_status,street_view_pano_id,street_view_date,street_view_heading,street_view_copyright,query_source
ChIJOQCV7rv71y0RetUoy6bPFbo,tambal ban dan bensin eceran,-7.2722437,112.75624599999999,230.21,"PQH4+4F5, Jl. Gubeng Airlangga II, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=13408851780845491578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,tambal ban dekat Kampus B Universitas Airlangga Surabaya
ChIJ1R-ybtP71y0RpjnEMrlyKkA,KMJ AC Mobil 74,-7.271838499999999,112.7608686,282.91,"Jl. Karang Menjangan No.74, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=4623634107195472294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya
ChIJdxI9g9H71y0R-wwrMON0jEA,Rejeki Motor,-7.2738586,112.7561887,298.43,"Jl. Dharmawangsa No.96, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=4651221034281405691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya
ChIJyWwgo9b71y0Re_Qogcrnm1Q,Immanuel Motor 5-38028,-7.270086900000001,112.7562846,327.74,"Jl. Dharmawangsa No.34, RT.008/RW.01, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=6096721377512453243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,service motor dekat Kampus B Universitas Airlangga Surabaya
ChIJqz8qnNH71y0RayyEz6m2lT0,BENGKEL LUHUR JAYA MOTOR,-7.2738982,112.7558857,328.03,"Jl. Gubeng Airlangga V No.12, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=4437653848290765931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya
ChIJ9aV3nNH71y0Rop9uxTOkUWc,Rizky Jaya Motor,-7.274109,112.7559495,336.37,"Jl. Gubeng Kertajaya VII H No.24, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=7444912201282789282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,service motor dekat Kampus B Universitas Airlangga Surabaya
ChIJw3ox8jb71y0RZuIHj-VcMZg,Service montor pangilan,-7.2702994,112.760835,349.09,"PQH6+V8P, Jl. Karang MenjanAirlangga, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=10966648708640793190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,service motor dekat Kampus B Universitas Airlangga Surabaya
ChIJy8o9kNH71y0RMPCH2a8jyIE,Ahass Panglima Jaya Motor,-7.274407200000001,112.75604919999999,349.99,"Jl. Dharmawangsa No.102, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=9351763864410648624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya
ChIJXaJNkNH71y0Ro3U5HxQoOR0,Nalo Motor,-7.274611199999999,112.756097,362.5,"Jl. Dharmawangsa No.106 B, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=2105758367660733859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel motor dekat Kampus B Universitas Airlangga Surabaya
ChIJUzXe8tH71y0RwIm4pTzR1_k,Bengkel Mobil SANJAYA,-7.2750637,112.7562926,387.94,"Jl. Dharmawangsa No.49 010, RT.010/RW.04, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",https://maps.google.com/?cid=18003088093845424576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"car_repair, point_of_interest, service, establishment",,,,,,REQUEST_DENIED,,,,,bengkel mobil dekat Kampus B Universitas Airlangga Surabaya
